"fips","SCC","Pollutant","Emissions","type","year"
"01113","2103001000","PM25-PRI",0.097,"NONPOINT",1999
"01113","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01115","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"01115","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01115","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01117","10100101","PM25-PRI",0.108,"POINT",1999
"01117","10100202","PM25-PRI",2791.625,"POINT",1999
"01117","10100212","PM25-PRI",2421.342,"POINT",1999
"01117","2102002000","PM25-PRI",22.628,"NONPOINT",1999
"01119","2102002000","PM25-PRI",0.209,"NONPOINT",1999
"01119","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01119","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01121","10200201","PM25-PRI",22.13,"POINT",1999
"01121","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"01121","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01121","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01123","10100101","PM25-PRI",0.607,"POINT",1999
"01123","2102002000","PM25-PRI",0.296,"NONPOINT",1999
"01123","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"01123","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01125","2102002000","PM25-PRI",0.449,"NONPOINT",1999
"01125","2103001000","PM25-PRI",0.083,"NONPOINT",1999
"01125","2103002000","PM25-PRI",0.047,"NONPOINT",1999
"01127","10100201","PM25-PRI",5206.986,"POINT",1999
"01127","2102002000","PM25-PRI",0.098,"NONPOINT",1999
"01127","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01127","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"01129","10100101","PM25-PRI",0.602,"POINT",1999
"01129","10100202","PM25-PRI",728.003,"POINT",1999
"01129","2102002000","PM25-PRI",0.007,"NONPOINT",1999
"01129","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"01129","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01131","10200201","PM25-PRI",31.817,"POINT",1999
"01131","2102002000","PM25-PRI",0.406,"NONPOINT",1999
"01131","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"01131","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01133","10100101","PM25-PRI",1.619,"POINT",1999
"01133","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"01133","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"01133","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12001","10100202","PM25-PRI",212.199,"POINT",1999
"12001","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12001","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12005","10100212","PM25-PRI",2994.966,"POINT",1999
"12005","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12009","2103001000","PM25-PRI",0.036,"NONPOINT",1999
"12009","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"12011","2103001000","PM25-PRI",0.583,"NONPOINT",1999
"12011","2103002000","PM25-PRI",0.067,"NONPOINT",1999
"12015","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"12017","10100202","PM25-PRI",2403.605,"POINT",1999
"12017","10100212","PM25-PRI",2310.23,"POINT",1999
"12017","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12019","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"12021","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12021","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12023","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12031","10100202","PM25-PRI",1065.486,"POINT",1999
"12031","10100218","PM25-PRI",128.708,"POINT",1999
"12031","2103001000","PM25-PRI",0.367,"NONPOINT",1999
"12031","2103002000","PM25-PRI",0.154,"NONPOINT",1999
"12033","10100202","PM25-PRI",1855.72,"POINT",1999
"12033","10100212","PM25-PRI",230.083,"POINT",1999
"12033","10200202","PM25-PRI",55.698,"POINT",1999
"12033","2103001000","PM25-PRI",0.036,"NONPOINT",1999
"12033","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"12039","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"12053","10200219","PM25-PRI",3,"POINT",1999
"12053","2103001000","PM25-PRI",0.011,"NONPOINT",1999
